,bioguide,name,party,state,doc_count
395,B001299,"Sen. Banks, Jim [R-IN]",R,IN,4
394,M001212,"Rep. Moore, Barry [R-AL-2]",R,AL,4
393,C001130,"Rep. Crockett, Jasmine [D-TX-30]",D,TX,4
406,A000379,"Rep. Alford, Mark [R-MO-4]",R,MO,4
389,M001190,"Sen. Mullin, Markwayne [R-OK]",R,OK,4
407,S001211,"Rep. Stanton, Greg [D-AZ-4]",D,AZ,4
9,S001201,"Rep. Suozzi, Thomas R. [D-NY-3]",D,NY,4
15,W000804,"Rep. Wittman, Robert J. [R-VA-1]",R,VA,4
375,R000576,"Rep. Ruppersberger, C. A. Dutch [D-MD-2]",D,MD,4
514,C001118,"Rep. Cline, Ben [R-VA-6]",R,VA,4
27,G000596,"Rep. Greene, Marjorie Taylor [R-GA-14]",R,GA,4
222,W000797,"Rep. Wasserman Schultz, Debbie [D-FL-25]",D,FL,4
507,B001224,"Rep. Bush, Cori [D-MO-1]",D,MO,4
204,W000823,"Rep. Waltz, Michael [R-FL-6]",R,FL,4
416,G000598,"Rep. Garcia, Robert [D-CA-42]",D,CA,4
426,M001220,"Rep. McGarvey, Morgan [D-KY-3]",D,KY,4
335,H001066,"Rep. Horsford, Steven [D-NV-4]",D,NV,4
87,S001232,"Sen. Sheehy, Tim [R-MT]",R,MT,4
106,S001159,"Rep. Strickland, Marilyn [D-WA-10]",D,WA,4
298,B001236,"Sen. Boozman, John [R-AR]",R,AR,4
115,V000131,"Rep. Veasey, Marc A. [D-TX-33]",D,TX,4
165,J000301,"Rep. Johnson, Dusty [R-SD-At Large]",R,SD,4
160,F000462,"Rep. Frankel, Lois [D-FL-22]",D,FL,4
121,D000096,"Rep. Davis, Danny K. [D-IL-7]",D,IL,4
122,B001313,"Rep. Brown, Shontel M. [D-OH-11]",D,OH,4
263,S001156,"Rep. Sánchez, Linda T. [D-CA-38]",D,CA,4
286,K000376,"Rep. Kelly, Mike [R-PA-16]",R,PA,4
126,S000185,"Rep. Scott, Robert C. ""Bobby"" [D-VA-3]",D,VA,4
150,U000040,"Rep. Underwood, Lauren [D-IL-14]",D,IL,4
128,K000394,"Rep. Kim, Andy [D-NJ-3]",D,NJ,4
131,D000631,"Rep. Dean, Madeleine [D-PA-4]",D,PA,4
134,M001188,"Rep. Meng, Grace [D-NY-6]",D,NY,4
275,L000601,"Rep. Landsman, Greg [D-OH-1]",D,OH,4
137,M001169,"Sen. Murphy, Christopher [D-CT]",D,CT,4
138,M001135,"Rep. Manning, Kathy E. [D-NC-6]",D,NC,4
483,B001318,"Rep. Balint, Becca [D-VT-At Large]",D,VT,4
114,G000591,"Rep. Guest, Michael [R-MS-3]",R,MS,4
200,V000136,"Rep. Vasquez, Gabe [D-NM-2]",D,NM,4
214,C001098,"Sen. Cruz, Ted [R-TX]",R,TX,4
98,G000592,"Rep. Golden, Jared F. [D-ME-2]",D,ME,4
101,R000615,"Sen. Romney, Mitt [R-UT]",R,UT,4
311,V000081,"Rep. Velazquez, Nydia M. [D-NY-7]",D,NY,4
493,C001066,"Rep. Castor, Kathy [D-FL-14]",D,FL,4
176,S000929,"Rep. Spartz, Victoria [R-IN-5]",R,IN,4
207,H000874,"Rep. Hoyer, Steny H. [D-MD-5]",D,MD,3
208,S001185,"Rep. Sewell, Terri A. [D-AL-7]",D,AL,3
19,O000174,"Sen. Ossoff, Jon [D-GA]",D,GA,3
104,P000197,"Rep. Pelosi, Nancy [D-CA-11]",D,CA,3
515,C001069,"Rep. Courtney, Joe [D-CT-2]",D,CT,3
409,B000490,"Rep. Bishop, Sanford D., Jr. [D-GA-2]",D,GA,3
255,M000871,"Rep. Mann, Tracey [R-KS-1]",R,KS,3
374,M001198,"Sen. Marshall, Roger [R-KS]",R,KS,3
423,D000197,"Rep. DeGette, Diana [D-CO-1]",D,CO,3
157,D000594,"Rep. De La Cruz, Monica [R-TX-15]",R,TX,3
381,P000618,"Rep. Porter, Katie [D-CA-47]",D,CA,3
80,G000565,"Rep. Gosar, Paul A. [R-AZ-9]",R,AZ,3
464,S000168,"Rep. Salazar, Maria Elvira [R-FL-27]",R,FL,3
29,M001237,"Rep. McDonald Rivet, Kristen [D-MI-8]",D,MI,3
408,C001091,"Rep. Castro, Joaquin [D-TX-20]",D,TX,3
149,S001212,"Rep. Stauber, Pete [R-MN-8]",R,MN,3
216,G000600,"Rep. Perez, Marie Gluesenkamp [D-WA-3]",D,WA,3
392,B001257,"Rep. Bilirakis, Gus M. [R-FL-12]",R,FL,3
276,H001091,"Rep. Hinson, Ashley [R-IA-2]",R,IA,3
321,T000464,"Sen. Tester, Jon [D-MT]",D,MT,3
7,W000798,"Rep. Walberg, Tim [R-MI-5]",R,MI,3
424,S001168,"Rep. Sarbanes, John P. [D-MD-3]",D,MD,3
3,K000382,"Rep. Kuster, Ann M. [D-NH-2]",D,NH,3
425,L000273,"Rep. Leger Fernandez, Teresa [D-NM-3]",D,NM,3
496,M001183,"Sen. Manchin, Joe, III [D-WV]",D,WV,3
187,D000216,"Rep. DeLauro, Rosa L. [D-CT-3]",D,CT,3
241,R000600,"Del. Radewagen, Aumua Amata Coleman [R-AS-At Large]",R,AS,3
169,G000574,"Sen. Gallego, Ruben [D-AZ]",D,AZ,3
190,H001093,"Rep. Houchin, Erin [R-IN-9]",R,IN,3
56,Z000018,"Rep. Zinke, Ryan K. [R-MT-1]",R,MT,3
110,R000609,"Rep. Rutherford, John H. [R-FL-5]",R,FL,3
